授業回,テーマ,問No.,問：【】内の記述が適切かどうかを答えてください。,正解（o：適切、x：適切でない）,解説,小テスト版からの変更（0：なし、1：あり）
4,原因帰属,2,【行動の原因を行為者の内的要因に求めることを「内的帰属」、外的要因に求めることを「外的帰属」とよぶ。】,o,レヴィンが示した式「B = f(P， E)」（第02回授業資料参照）によれば、ある人の行動（B）はその人の内的要因（P）と外的要因（E）によって決まることになる。ある人の行動についての原因帰属は、「その人の内的要因と外的要因が、それぞれどの程度行動に影響を与えたのかを推論し、特定することである」ということができる。,0
4,原因帰属,3,【［共変モデル］では、原因の推論にあたり、「対象となる実体」「行為の主体」「状況」の３つの面を検討することになる。】,o,行為が変化するのが「対象となる実体」が異なったときだけだったとすれば、「行為の原因は『対象となる実体」である」と推論できる。また、行為が変化するのが「行為の主体」が異なったときだけだったとすれば、「行為の原因は『行為の主体」である」と推論できる。,0
4,原因帰属,4,【共変モデルは、原因帰属過程についての記述的なモデルである。】,x,共変モデルは、原因帰属過程についての規範的なモデルである。「規範的な」というのは「『どうあるべきか』についての」という意味である。つまり、共変モデルは、「原因帰属過程はどうあるべきかについてのモデル」ということである。言い換えると、共変モデルは、どのような原因帰属過程が合理的であるかを説明するモデルである。なお、原因帰属に関する記述的な研究とは、「私たちは、実際にはどのように原因帰属を行っているのか」についての研究のことである。,0
4,原因帰属,5,【私たちは常に合理的に原因帰属をしているわけではなく、私たちの原因帰属過程にはさまざまなバイアス（傾向、ゆがみ）がある。】,o,原因帰属に関する記述的な研究によって、【】内のことが明らかになった。,0
4,原因帰属,6,【「基本的な帰属のエラー」とは、他者の行動の原因を推測する際、外的要因（他者の存在、状況など）とくらべて、その人の内的要因（性格、能力、信念など）を重視し過ぎるというバイアスである。】,o,このバイアスが「基本的な帰属のエラー」とよばれるのは、人間がおかしがちな本質的で普遍的な帰属の誤りであるとされているためである。なお、「基本的な帰属のエラー」は、「対応バイアス」とよばれることもある。,0
4,原因帰属,7,【基本的な帰属のエラーが起こるメカニズムを説明する理論の一つに「3段階モデル」がある。3段階モデルによれば、私たちは、他者のある行動を見たとき、自動的に内的帰属を行ってしまう。】,o,3段階モデルによれば、私たちの原因帰属過程は3段階の処理過程にわかれている。第1段階は「行動の同定」である。他者がどのような行動をとったかを判断する段階である。第2段階は「内的属性の推論」である。この段階では、他者の行動の原因をその人の内的属性に求める。つまり内的帰属が行われる。この段階の処理は自動的に実行されると想定されている。第3段階は「状況要因を考慮した修正」である。この段階では、外的要因が行動におよぼした影響力が評価される。その結果に応じて、第2段階で行った内的帰属を修正する（内的帰属の程度を弱める）ことになる。ただし、第3段階の修正には、少なくない認知的な労力や時間がかかると想定されている。したがって、労力や時間が足りない場合には、第3段階の処理は行われない。その結果、原因帰属過程は第2段階で打ち切られ、内的帰属がなされることになる。,0
4,原因帰属,8,【基本的な帰属のエラー（過度の内的帰属）は、人間がおかしがちな普遍的なエラーであり、行動の主体が自分であった場合にも同様のエラーが起こりやすい。】,x,基本的な帰属のエラー（過度の内的帰属）は、人間がおかしがちな普遍的なエラーであるとされているが、行動の主体が自分であった場合には、むしろこれとは反対方向のバイアスが生じやすい（つまり外的帰属が行われやすい）といわれている。つまり、「行為の主体が自分である（自分が行為者である）場合は、外的帰属がなされやすい」「行為の主体が他者である（自分は他者の行為を観察する立場である）場合は、内的帰属がなされやすい」という傾向がある。これを「行為者-観察者バイアス」とよぶ。,0
4,原因帰属,9,【自分の行為については、ネガティブな出来事（悪い結果となった出来事）の場合は、ポジティブな出来事（良い結果となった出来事）の場合ほどには、行為者-観察者バイアスが起きにくい。】,x,行為者-観察者バイアスが見られる状況は限定的だといわれている。たとえば、自分の行為についての原因帰属では、「 ポジティブな出来事の場合、内的帰属がなされやすい（「良い結果が出たのは、自分の能力や努力のおかげ」と推論しがち）」「ネガティブな出来事の場合、外的帰属がなされやすい（「悪い結果になったのは、外的要因のせい」と推論しがち）」という傾向がある。つまり、自分にとって都合のよい方向に推論される傾向があるということである。これを、「セルフ・サービング・バイアス」（自己奉仕的バイアス）とよぶ。,0
4,原因帰属,10,【私たちは、事件や事故などを見聞きした際、その被害者に被害の責任を帰属しがちであるといわれている。つまり、私たちには、「そのような被害にあった責任の一部（あるいはすべて）は被害者にある」というような推論をする傾向がある。このような責任帰属を「被害者非難」とよぶ。】,o,被害者非難には、「公正世界仮説」とよばれる信念が関係していると考えられている。,0
4,原因帰属,11,【公正世界仮説が正しければ、自分は悪いことをしていなくても、自分の身に不幸が降りかかる可能性があることになる。】,x,「公正世界仮説」とは、良い行いをしている人には良いことが起こり、悪い行いをしている人には悪いことが起こるという、因果応報的な世界観である。人間は一般にこうした世界観をもっているとされる。公正世界仮説が正しければ、自分が悪い行いをしない限りは、自分に悪いことは起こらないはずである。しかし、公正世界仮説が否定されれば、自分は悪いことをしていなくても、自分の身に不幸が降りかかる可能性があることになる。これは、自己にとっての大きな脅威だといえる。被害者非難がなされるのは、このような脅威から自身を防御するために、公正世界仮説を維持しようとするからだと考えられている。,0
4,原因帰属,12,【自己に対する脅威（「自分も大きな事故や事件の当事者になるかもしれない」という不安）から自身を防御するための帰属を、「防衛的帰属」とよぶ。】,o,公正世界仮説を守るために被害者非難を行うことも、防衛的帰属だといえる。,0
5,態度,1,【社会心理学用語としての「態度」は、「ある人の心のうちが、振る舞いや仕草、表情などに現れたもの」を意味する。】,x,一般的な日本語において、「態度」という語は、「ある人の心のうちが、振る舞いや仕草、表情などに現れたもの」というような意味で用いられる。しかし、社会心理学においては、「ある個人の、ある特定の対象（人、物、状況など）に対する、好悪（好きか嫌いか）や評価（良いか悪いか、賛成か反対か、など）」を、その人のその対象に対する「態度」とよぶ。社会心理学用語の「態度」は、一般的な日本語としての「態度」とは違い、ある人の内面的な状態を指しており、必ずしも外面に現れないものなのである。,0
5,態度,2,【態度は、ある対象に対する「感情成分」と「認知成分」の2成分によって構成されている。】,o,態度は、ある対象に対する「好悪」と「評価」の2成分によって構成されている。これらの2成分のうち、ある対象についての「好悪」を態度の「感情成分」とよぶ。また、ある対象に対する「評価」を態度の「認知成分」とよぶ。,0
5,態度,3,【認知的不協和は、態度変容を引き起こす原因とはなりえない。】,x,「認知的不協和理論」は態度に関する古典的な理論の一つである。認知的不協和理論によれば、私たちが認知しているさまざまなことがらのなかに矛盾・対立する2つの要素があるとき、これらの要素は「認知的に不協和」な状態である。このような認知的不協和の存在は、心理的緊張、あるいは心理的不快感をもたらす。そこで、私たちはこの不協和を解消しようとする。認知的不協和を解消するために、自身の態度を変えてしまうこともある。,0
5,態度,4,【説得的コミュニケーションにおいては、説得者（送り手）の信頼性や専門性が大きいほど説得効果が大きくなる。】,o,「信頼性」とは、説得者がどの程度信頼できる情報源であるかということである。また、「専門性」とは、説得者がその分野についてどの程度専門的な知識をもっているかということである。なお、信頼性と専門性を合わせて「信憑（しんぴょう）性」とよぶ。,0
5,態度,5,【説得的コミュニケーションにおける送り手の信憑性について、「スリーパー効果」という現象が知られている。スリーパー効果とは、信憑性の低い情報源からのメッセージの場合、コミュニケーション提示直後よりも、数週間後のほうが態度変容効果が大きいという現象である。】,o,スリーパー効果が生じる理由は、メッセージ提示直後は、メッセージの内容が情報源の信憑性の低さによって割り引かれるのだが、一定時間経過後には情報源が何であったのかを忘れてしまい、情報源の信憑性の低さによる割引が生じなくなるからであると説明されている。,0
5,態度,6,【説得メッセージの内容が受け手にとって関連性の低いものである場合、メッセージの送り手が魅力的であるということが説得効果を高めることがある。】,o,「関連性」とは、「説得メッセージの内容が、受け手にとってどのくらい重要か」ということである。説得メッセージの内容が受け手にとって関連性の低いものである場合、議論の本質とはあまり関係のない表面的な特徴に注意が向きがちになるとされている。その結果、表面的な特徴によって、説得効果が左右されやすくなる。たとえば、メッセージが長いというだけで説得力が増すことがある。また、メッセージの送り手が魅力的であるということが、説得効果が高めることがある。,1
5,態度,7,【認知欲求の低い人は、説得メッセージを受けた際、その内容を深く検討しようとせず、表面的な特徴に注意が向きやすい傾向がある。】,o,「認知欲求」とは、人が認知的に負担のかかる活動に進んで従事しようとする傾向のことである。この認知欲求には、個人差があると考えられている。たとえば、あまり考えなくてもよい課題よりも、頭を使う困難な課題の方が好きだったり、新しい考え方を学ぶことが好きだったりする人は認知欲求が高いといえる。,0
5,態度,8,【「確証バイアス」は、態度が容易に変容しない理由の一つである。】,o,私たちには、自分の仮説（考え、信念、予想など）を支持するような情報には耳を傾けるのだが、自分の仮説と矛盾する情報にはあまり耳を貸さない傾向がある。また、いったん入手した情報に対しても、自分の仮説を支持する情報は好意的に評価する一方、自分の仮説と矛盾する情報については批判的な評価をしやすい傾向がある。このような傾向を「確証バイアス」とよぶ。,0
5,態度,9,【「ブーメラン効果」とは、説得メッセージの送り手が逆に説得されてしまうことである。】,x,「ブーメラン効果」とは、説得的コミュニケーションの受け手の態度が、説得的メッセージが主張する方向とは反対の方向に変容してしまう現象のことである。,0
5,態度,10,【「心理的リアクタンス」とは、行動や選択の自由が脅威にさらされた場合に生じる、心理的な抵抗・反発作用のことである。】,o,ブーメラン効果は、心理的リアクタンスによるものと考えられている。私たちは、常に自由に自分の意見や態度を決定できるという信念をもっているとされる。説得的コミュニケーションは、このような自由を脅かすものといえる。自由な意思決定が脅かされると、私たちはその自由を確認するために、説得メッセージが主張する方向とは逆の方向に態度を変容させることがあるのである。,0
5,態度,11,【説得的コミュニケーションの効果を高めるには、受け手に態度の変容を強要することが有効である。】,x,説得的コミュニケーションの効果を高めるには、受け手に態度の変容を強要するのではなく、受け手に意思決定の自由への脅威を感じさせない方法で行う方がよいといえる。,0
5,態度,12,【態度には、その人自身が意識的に把握できる顕在的な態度のほかに、意識的には把握することのできない潜在的な態度もある。】,o,意識的に把握できる顕在的な態度を「顕在態度」、意識的には把握することのできない潜在的な態度を「潜在態度」とよぶ。,0
5,態度,13,【顕在態度と潜在態度は、常に個人内で矛盾のないように保たれている。】,x,態度は、ふつう、個人内で矛盾のないように保たれるが、顕在態度と潜在態度については、一貫しない場合があることが知られている。特に、社会規範が関係する態度については、顕在態度と潜在態度の不一致が生じやすいといわれている。,0
6,自己,1,【社会心理学が研究対象とするのは、主に主我としての自己である。】,x,ジェームズ（James， 1892）は、自己の二重性を指摘し、一方の自己を「主我」、もう一方の自己を「客我」とよんだ。主我とは、知る者としての自己、認知の主体となる自己のことである。それに対し、客我は、知られる者としての自己、認知の対象となる自己である。社会心理学が研究対象とするのは、主に客我としての自己である。,0
6,自己,2,【客我としての自己は、認知的側面と感情的・評価的側面に大別できる。】,o,客我の認知的側面を「自己概念」とよぶ。また、客我の感情的・評価的側面を「自尊感情」あるいは「自己評価」とよぶ。自尊感情および自己評価は、同じ意味の用語として使われることも多いが、区別するとすれば、自尊感情とは比較的安定的な自己への評価、自己評価とは変動的な自己への一時的な評価のことである。,0
6,自己,3,【自己概念は、「個人的アイデンティティ」と「社会的アイデンティティ」に分けることができる。】,o,「自己概念」とは、客我としての自己に関する知識の集積であり、自己定義である。個人的アイデンティティとは、その個人の内的属性（性格、能力など）のことである。たとえば、「私は明るい」、「私はピアノが弾ける」といったものである。それに対し、社会的アイデンティティとは、社会集団（社会的カテゴリ）の成員としての自己概念である。たとえば、「私は日本人である」、「私は○○大学の学生である」といったものである。,0
6,自己,4,【ある瞬間において、一時的に強く認識されている自己概念を、「作動的自己概念」とよぶ。】,o,同じ個人であっても、個人的アイデンティティが強く認識されるときもあれば、社会的アイデンティティが強く認識されることもある。また、通常、ある個人は複数の社会的カテゴリに属している。それらのうち、どの社会的カテゴリが強く認識されるかは状況によって異なる。強く認識されている自己概念（作動的自己概念）は、その状況におけるその人の思考や感情、行動に強く影響を及ぼすことになる。,0
6,自己,5,【私たちは、ステレオタイプによって他者を理解しようとする傾向がある。それに対し、自己についてはステレオタイプに基づいて理解することはない。】,x,ある社会的カテゴリが作動的自己概念となっている場合、その社会的カテゴリに対するステレオタイプが自分自身に対しても付与される。たとえば、「私は日本人です」と自己紹介する際には、日本人が一般的にもっている特徴を自分自身ももっていると認識する。これを、「自己ステレオタイプ」とよぶ。私たちは、ステレオタイプによって他者を理解しようとする傾向があるが、それと同様に、自己についてもステレオタイプに基づいて理解することがあるのである。,0
6,自己,6,【過去および現在において、自分に重要な影響を与えてきた他者を「関係他者」とよぶ。】,x,過去および現在において、自分に重要な影響を与えてきた他者を「重要他者」とよぶ。たとえば、両親、兄弟、配偶者、親友、恋人などがあげられる。そして、重要他者との関係の面からとらえられた自己概念を「関係自己」とよぶ。関係自己もまた、その個人の思考、行動などに影響を及ぼす。,0
6,自己,7,【「社会的比較」とは、自己を正確に評価したいという動機で行われるものである。それ以外の動機で社会的比較が行われることはない。】,x,私たちが社会的比較を行う基本的な動機は、自己を正確に評価したいという動機である。しかし、正確な自己評価を得ることとは別の動機により、社会的比較が行われることもある。自分より優れた他者、望ましい状態にある他者との社会的比較を「上方比較」とよぶ。上方比較は自己を向上させたいという動機にもとづくものである。また、自分より相対的に劣った他者との比較を行うこともあり、これを「下方比較」という。下方比較は、自分よりも不幸あるいは不遇な人と比較することにより、自分が相対的により望ましい状態にあると認知し、自尊感情を上昇させたいという動機（自己高揚動機）にもとづく。,0
6,自己,8,【自己評価維持モデルによれば、自己との関連性が低い活動内容に関して、心理的距離が近い他者が高い遂行レベルを見せた場合には、反映過程が起こる。】,o,このような場合、他者の好成績（高い遂行レベル）を素直に喜び、さらに他者と自己との結びつきを強調し同一視して自己評価を上げようとする。これが反映過程である。なお、自己との関連性が高い活動内容に関しては、＜自己＞と＜心理的距離が近い他者＞との間で、遂行レベルの比較がなされる。これが比較過程である。,1
6,自己,9,【私たちには、自分自身を実際以上によいものとして認知する傾向がある。これを「ポジティブ・イリュージョン」とよぶ。】,o,ポジティブ・イリュージョンは、私たちが自身を正しく把握できていないことのあらわれであり、ときに誤った判断や意思決定を導くことにもなる。その一方で、ポジティブ・イリュージョンをもつ人は、そうでない人と比べて、落ち込みにくく、困難な課題にも粘り強く取り組み、結果として成功しやすいという。また、一般的に、ポジティブ・イリュージョンにおける自己認知の偏りは、それほど極端なものではなく、ほどほどの範囲に収まることが多いとされる。ポジティブ・イリュージョンは、精神的健康を維持するための適応過程の一つであると考えられている。,0
6,自己,10,【抑うつ状態の人は、必要以上に悲観的になり過ぎている。】,x,抑うつ状態にある人は、そうでない人と比べて、自分や自分をとりまく環境をより正確に把握しているといわれている。これを「抑うつリアリズム」とよぶ。,0
6,自己,11,【自分のものの見方や感じ方は偏りがなく、客観的であるという信念は「ナイーブ・リアリズム」とよばれている。】,o,私たちは、世界は自分が見ているように実在しており、他者も客観的に世界を見ているならば、自分と同じような世界を見ているはずだと考えがちである。しかし、世界に対する私たちの認識は、主観的であり、ひとりひとり異なっている。自他の認識のずれを知ったとき、「自分こそ客観的である」というナイーブ・リアリズムにとらわれていると、相手の認識には歪みがあり、間違っていると考えてしまうことになる。,0
7,対人関係,1,【親和欲求とは、人が持つ基本的欲求の1つであり、孤独を避け他者との接触を求めようとする欲求のことである。】,o,不安は親和欲求を高め、対人関係が発生するきっかけになりうる。,0
7,対人関係,2,【外見が魅力的な人は、その他の側面においても望ましい性質を持っていると思われやすい傾向がある。これを「美人ステレオタイプ」とよぶ。】,o,なお、美人ステレオタイプについては、第03回「対人認知」でも取り上げた。,0
7,対人関係,3,【態度などのように正しさを証明する明確な基準がないものについて、他者との類似や合意をもって、その正しさを保証しようとする傾向のことを「確証バイアス」とよぶ。】,x,【】内に記述されているような傾向を「合意的妥当化」とよぶ。,0
7,対人関係,4,【私たちは、自分と異なる他者を好むことはない。】,x,ウインチ（R. F. Winch， 1958）は、既婚カップルを対象とした調査を通して、欲求について相補的な組み合わせであるほど、お互いを受け入れ、その関係自体も良好であったと報告している。相補的に異なる他者を好む背景には、現時点および将来において当事者に付与される課題の解決のために、適切な役割分担が志向されているからであると考えられる。,0
7,対人関係,5,【ただ単に接触機会が多く見慣れてくるだけでも、その対象に好意を感じやすくなる傾向のことを「単純接触効果」とよぶ。】,o,単純接触効果は、空間的近接が対人魅力を高める理由の一つであると考えられる。,0
7,対人関係,6,【対人的相互作用における、さまざまな財の交換を「社会的交換」とよぶ。「財」とは金銭や物品のことであり、金銭や物品以外は財ではない。】,x,「財」には、金銭や物品のような「物理的財」だけでなく、「心理的財」（愛情、賞賛など）や「社会的財」（地位、名声など）なども含まれる。,0
7,対人関係,7,【「投資モデル」によれば、ある対人関係への現状の満足度が低い場合には、必ずその関係の解消に至る。】,x,ある対人関係への現状の満足度が低くても、必ずしもその関係の解消には至らない。その関係に対するこれまでの投資量が多い場合や、代替関係から得られる満足度がその関係よりも少ない場合には、その関係は崩壊しない場合がある。,0
7,対人関係,8,【私たちは、ある対象にこれ以上コストを投入しても損にしかならないのに、それまでにつぎ込んだコストがもったいなく思えて、「撤退」という意思決定ができないことがある。これを「サンクコスト効果」とよぶ。】,o,投資モデルでは「ある対人関係への現状の満足度が低くても、その関係に対するこれまでの投資量が多い場合には、その関係は崩壊しない場合がある」とされているが、これはサンクコスト効果のあらわれであるといえる。,0
7,対人関係,9,【「衡平理論」によれば、自分と相手との間の報酬・コストが衡平であれば、お互いに満足いき、関係は安定的に維持される。】,o,しかし、不衡平の状態にあるときには、人はその不衡平を解消しようと動機づけられ、衡平な状態に修正できなければ、関係の崩壊が起こるとされる。,0
7,対人関係,10,【成人の愛着スタイルは、「他者への評価」と「自己評価」によって特徴づけることができる。他者への評価がネガティブな人は、他者への依存度が大きい。】,x,他者への評価は、他者との関係を回避する傾向の強さに関係する。他者への評価がネガティブな人は、他者との関係を回避する傾向が強いとされている。それに対し、他者への評価がポジティブな人は、他者を回避しようとする傾向が弱いとされている。また、自己評価は他者への依存度の大きさに関係する。自己評価がポジティブな人は、他者への依存度が小さい。それに対し、自己評価がネガティブな人は、他者への依存度が大きい。,0
8,コミュニケーション,1,【一般的に、相手に視線を送ることは好意の表れを意味し、相手からの好意を引き出すことができる。したがって、相手を見つめれば見つめるほどよいといえる。】,x,一般的に、相手に視線を送ることは好意の表れを意味し、相手からの好意を引き出すことができる。しかし、見つめれば見つめるほどよいというわけではない。たとえば、自分が話すときよりも、相手が話すときに視線を送ることがよい印象を与える。,0
8,コミュニケーション,2,【言語以外のものを用いたコミュニケーションを「パラ言語」とよぶ。】,x,言語以外のものを用いたコミュニケーションを「非言語的コミュニケーション」とよぶ。「パラ言語」とは、話し方（音声の大きさ、速度など）や、文字の大きさや形といった言語に付随する非言語的側面のことである。パラ言語は、非言語的コミュニケーションの手段の一つである。,0
8,コミュニケーション,3,【何らかの目的達成のために行うコミュニケーションを「自己完結的コミュニケーション」とよぶ。】,x,何らかの目的達成のために行うコミュニケーションを「道具的コミュニケーション」とよぶ。たとえば、飲食店で食べたいものを音声言語で注文するような場合である。それに対して、コミュニケーションを行うこと自体が目的となる場合もある。たとえば、話すこと自体が楽しいといった場合や、喜び、悲しみなどの感情を表出するような場合である。このような場合におけるコミュニケーションを「自己完結的コミュニケーション」とよぶ。,0
8,コミュニケーション,4,【人との関係を維持するためのコミュニケーション技術を「ソーシャルスキル」とよぶ。】,o,私たちはさまざまな場面で人と出会い、関係を形成するが、その関係性を維持するにはそれなりの技術が必要である。,0
8,コミュニケーション,5,【開いた質問をすることは、「あなたの話に興味がある」「あなたの思うように話して欲しい」という意思表示となる。】,o,「開いた質問」とは、相手側がいかようにも答えることが可能な質問のことである。より具体的には、「何を」「なぜ」「どのように」というような質問である。それに対し、回答が限定されるような質問を「閉じた質問」とよぶ。たとえば、イエスかノーでしか答えようのない質問は、閉じた質問である。また、年齢、居住地などを尋ねるのも、閉じた質問だといえる。,0
